reaction_id	reaction_equation	dead_end_test	duplicate_test_exact	duplicate_test_directions	duplicate_test_coefficients	duplicate_test_redox
MAR03461	MAM00682x + MAM02039x + MAM02555x --> MAM02554x + MAM03034x	MAM00682x;MAM03034x	ok	ok	ok	N/A
MAR03462	MAM03034x --> MAM03029x	MAM03029x;MAM03034x	ok	ok	ok	N/A
MAR03463	MAM02040x + MAM03029x --> MAM00710x	MAM00710x;MAM03029x	ok	ok	ok	N/A
MAR03464	MAM00710x + MAM02552x --> MAM00859x + MAM02039x + MAM02553x	MAM00710x;MAM00859x	ok	ok	ok	N/A
MAR03466	MAM01802x + MAM01934x --> MAM00073x + MAM01803x	MAM00073x;MAM01934x	ok	ok	ok	N/A
MAR03467	MAM00073x + MAM02040x --> MAM00697x	MAM00073x;MAM00697x	ok	ok	ok	N/A
MAR03468	MAM00697x + MAM02552x <=> MAM00834x + MAM02039x + MAM02553x	MAM00697x;MAM00834x	ok	ok	ok	N/A
MAR03469	MAM00091x + MAM01261x <=> MAM00834x + MAM01597x	MAM00091x;MAM00834x	ok	ok	ok	N/A
MAR03470	MAM00091x + MAM01802x --> MAM00072x + MAM01803x	MAM00072x;MAM00091x	ok	ok	ok	N/A
MAR03471	MAM00072x + MAM02039x + MAM02555x <=> MAM00089x + MAM02554x	MAM00072x;MAM00089x	ok	ok	ok	N/A
MAR03472	MAM00089x --> MAM03009x	MAM00089x	ok	ok	ok	N/A
MAR00988	MAM00377c + MAM02027c + MAM02040c <=> MAM00380c + 2 MAM02026c	MAM00377c	ok	ok	ok	N/A
MAR00989	MAM00377c + MAM02554c --> MAM00393c + MAM02039c + MAM02555c	MAM00377c;MAM00393c	ok	ok	ok	N/A
MAR00990	MAM00377c + MAM02552c --> MAM00393c + MAM02039c + MAM02553c	MAM00377c;MAM00393c	ok	ok	ok	N/A
MAR01053	MAM02026r + MAM02096r <=> MAM02097r	MAM02097r	ok	ok	ok	N/A
MAR01079	MAM01362c + MAM01983c + 5 MAM02039c --> 2 MAM02040c + MAM02610c	MAM02610c	ok	ok	ok	N/A
MAR01235	MAM00257r + MAM02039r + MAM02555r + MAM02630r --> MAM00597r + MAM02040r + MAM02554r	MAM00257r;MAM00597r	ok	ok	ok	N/A
MAR01237	MAM00597r + MAM02039r + MAM02555r + MAM02630r --> MAM00255r + MAM02040r + MAM02554r	MAM00255r;MAM00597r	ok	ok	ok	N/A
MAR01239	MAM00255r + MAM02039r + MAM02555r + MAM02630r --> MAM00256r + MAM02040r + MAM02554r	MAM00255r;MAM00256r	ok	ok	ok	N/A
