rxns	newEqn
HMR_5151	1827 ATP[c] + 13 glycyl-tRNA(gly)[c] + 1828 H2O[c] + 63 L-alanyl-tRNA(ala)[c] + 27 L-arginyl-tRNA(arg)[c] + 17 L-asparaginyl-tRNA(asn)[c] + 36 L-aspartyl-tRNA(asp)[c] + 35 L-cysteinyl-tRNA(cys)[c] + 20 L-glutaminyl-tRNA(gln)[c] + 62 L-glutamyl-tRNA(glu)[c] + 16 L-histidyl-tRNA(his)[c] + 9 L-isoleucyl-tRNA(ile)[c] + 64 L-leucyl-tRNA(leu)[c] + 60 L-lysyl-tRNA(lys)[c] + 7 L-methionyl-tRNA(met)[c] + 35 L-phenylalanyl-tRNA(phe)[c] + 24 L-prolyl-tRNA(pro)[c] + 28 L-seryl-tRNA(ser)[c] + 29 L-threonyl-tRNA(thr)[c] + 2 L-tryptophanyl-tRNA(trp)[c] + 19 L-tyrosyl-tRNA(tyr)[c] + 43 L-valyl-tRNA(val)[c] => 1827 ADP[c] + albumin[c] + 1827 Pi[c] + 63 tRNA(ala)[c] + 27 tRNA(arg)[c] + 17 tRNA(asn)[c] + 36 tRNA(asp)[c] + 35 tRNA(cys)[c] + 20 tRNA(gln)[c] + 62 tRNA(glu)[c] + 13 tRNA(gly)[c] + 16 tRNA(his)[c] + 9 tRNA(ile)[c] + 64 tRNA(leu)[c] + 60 tRNA(lys)[c] + 7 tRNA(met)[c] + 35 tRNA(phe)[c] + 24 tRNA(pro)[c] + 28 tRNA(ser)[c] + 29 tRNA(thr)[c] + 2 tRNA(trp)[c] + 19 tRNA(tyr)[c] + 43 tRNA(val)[c] + 2425 H+[c]
HMR_5152	1269 ATP[c] + 16 glycyl-tRNA(gly)[c] + 1270 H2O[c] + 34 L-alanyl-tRNA(ala)[c] + 16 L-arginyl-tRNA(arg)[c] + 19 L-asparaginyl-tRNA(asn)[c] + 25 L-aspartyl-tRNA(asp)[c] + 3 L-cysteinyl-tRNA(cys)[c] + 17 L-glutaminyl-tRNA(gln)[c] + 29 L-glutamyl-tRNA(glu)[c] + 9 L-histidyl-tRNA(his)[c] + 20 L-isoleucyl-tRNA(ile)[c] + 59 L-leucyl-tRNA(leu)[c] + 26 L-lysyl-tRNA(lys)[c] + 14 L-methionyl-tRNA(met)[c] + 25 L-phenylalanyl-tRNA(phe)[c] + 16 L-prolyl-tRNA(pro)[c] + 30 L-seryl-tRNA(ser)[c] + 29 L-threonyl-tRNA(thr)[c] + 3 L-tryptophanyl-tRNA(trp)[c] + 9 L-tyrosyl-tRNA(tyr)[c] + 24 L-valyl-tRNA(val)[c] => 1269 ADP[c] + antichymotrypsin[c] + 1269 Pi[c] + 34 tRNA(ala)[c] + 16 tRNA(arg)[c] + 19 tRNA(asn)[c] + 25 tRNA(asp)[c] + 3 tRNA(cys)[c] + 17 tRNA(gln)[c] + 29 tRNA(glu)[c] + 16 tRNA(gly)[c] + 9 tRNA(his)[c] + 20 tRNA(ile)[c] + 59 tRNA(leu)[c] + 26 tRNA(lys)[c] + 14 tRNA(met)[c] + 25 tRNA(phe)[c] + 16 tRNA(pro)[c] + 30 tRNA(ser)[c] + 29 tRNA(thr)[c] + 3 tRNA(trp)[c] + 9 tRNA(tyr)[c] + 24 tRNA(val)[c] + 1680 H+[c]
HMR_5153	1254 ATP[c] + 24 glycyl-tRNA(gly)[c] + 1255 H2O[c] + 26 L-alanyl-tRNA(ala)[c] + 7 L-arginyl-tRNA(arg)[c] + 19 L-asparaginyl-tRNA(asn)[c] + 24 L-aspartyl-tRNA(asp)[c] + 3 L-cysteinyl-tRNA(cys)[c] + 18 L-glutaminyl-tRNA(gln)[c] + 32 L-glutamyl-tRNA(glu)[c] + 13 L-histidyl-tRNA(his)[c] + 20 L-isoleucyl-tRNA(ile)[c] + 51 L-leucyl-tRNA(leu)[c] + 34 L-lysyl-tRNA(lys)[c] + 10 L-methionyl-tRNA(met)[c] + 27 L-phenylalanyl-tRNA(phe)[c] + 19 L-prolyl-tRNA(pro)[c] + 25 L-seryl-tRNA(ser)[c] + 30 L-threonyl-tRNA(thr)[c] + 3 L-tryptophanyl-tRNA(trp)[c] + 6 L-tyrosyl-tRNA(tyr)[c] + 27 L-valyl-tRNA(val)[c] => 1254 ADP[c] + antitrypsin[c] + 1254 Pi[c] + 26 tRNA(ala)[c] + 7 tRNA(arg)[c] + 19 tRNA(asn)[c] + 24 tRNA(asp)[c] + 3 tRNA(cys)[c] + 18 tRNA(gln)[c] + 32 tRNA(glu)[c] + 24 tRNA(gly)[c] + 13 tRNA(his)[c] + 20 tRNA(ile)[c] + 51 tRNA(leu)[c] + 34 tRNA(lys)[c] + 10 tRNA(met)[c] + 27 tRNA(phe)[c] + 19 tRNA(pro)[c] + 25 tRNA(ser)[c] + 30 tRNA(thr)[c] + 3 tRNA(trp)[c] + 6 tRNA(tyr)[c] + 27 tRNA(val)[c] + 1657 H+[c]
HMR_5154	13683 ATP[c] + 207 glycyl-tRNA(gly)[c] + 13684 H2O[c] + 275 L-alanyl-tRNA(ala)[c] + 150 L-arginyl-tRNA(arg)[c] + 247 L-asparaginyl-tRNA(asn)[c] + 233 L-aspartyl-tRNA(asp)[c] + 25 L-cysteinyl-tRNA(cys)[c] + 230 L-glutaminyl-tRNA(gln)[c] + 298 L-glutamyl-tRNA(glu)[c] + 115 L-histidyl-tRNA(his)[c] + 285 L-isoleucyl-tRNA(ile)[c] + 533 L-leucyl-tRNA(leu)[c] + 357 L-lysyl-tRNA(lys)[c] + 79 L-methionyl-tRNA(met)[c] + 224 L-phenylalanyl-tRNA(phe)[c] + 171 L-prolyl-tRNA(pro)[c] + 392 L-seryl-tRNA(ser)[c] + 300 L-threonyl-tRNA(thr)[c] + 37 L-tryptophanyl-tRNA(trp)[c] + 151 L-tyrosyl-tRNA(tyr)[c] + 252 L-valyl-tRNA(val)[c] => 13683 ADP[c] + apoB100[c] + 13683 Pi[c] + 275 tRNA(ala)[c] + 150 tRNA(arg)[c] + 247 tRNA(asn)[c] + 233 tRNA(asp)[c] + 25 tRNA(cys)[c] + 230 tRNA(gln)[c] + 298 tRNA(glu)[c] + 207 tRNA(gly)[c] + 115 tRNA(his)[c] + 285 tRNA(ile)[c] + 533 tRNA(leu)[c] + 357 tRNA(lys)[c] + 79 tRNA(met)[c] + 224 tRNA(phe)[c] + 171 tRNA(pro)[c] + 392 tRNA(ser)[c] + 300 tRNA(thr)[c] + 37 tRNA(trp)[c] + 151 tRNA(tyr)[c] + 252 tRNA(val)[c] + 18220 H+[c]
HMR_5155	372 ATP[c] + 6 glycyl-tRNA(gly)[c] + 373 H2O[c] + 11 L-alanyl-tRNA(ala)[c] + 9 L-arginyl-tRNA(arg)[c] + L-asparaginyl-tRNA(asn)[c] + 8 L-aspartyl-tRNA(asp)[c] + 2 L-cysteinyl-tRNA(cys)[c] + 7 L-glutaminyl-tRNA(gln)[c] + 5 L-glutamyl-tRNA(glu)[c] + L-histidyl-tRNA(his)[c] + 4 L-isoleucyl-tRNA(ile)[c] + 20 L-leucyl-tRNA(leu)[c] + 4 L-lysyl-tRNA(lys)[c] + 5 L-methionyl-tRNA(met)[c] + 3 L-phenylalanyl-tRNA(phe)[c] + 9 L-prolyl-tRNA(pro)[c] + 8 L-seryl-tRNA(ser)[c] + 6 L-threonyl-tRNA(thr)[c] + 4 L-tyrosyl-tRNA(tyr)[c] + 11 L-valyl-tRNA(val)[c] => 372 ADP[c] + apo-[ACP][c] + 372 Pi[c] + 11 tRNA(ala)[c] + 9 tRNA(arg)[c] + tRNA(asn)[c] + 8 tRNA(asp)[c] + 2 tRNA(cys)[c] + 7 tRNA(gln)[c] + 5 tRNA(glu)[c] + 6 tRNA(gly)[c] + tRNA(his)[c] + 4 tRNA(ile)[c] + 20 tRNA(leu)[c] + 4 tRNA(lys)[c] + 5 tRNA(met)[c] + 3 tRNA(phe)[c] + 9 tRNA(pro)[c] + 8 tRNA(ser)[c] + 6 tRNA(thr)[c] + 4 tRNA(tyr)[c] + 11 tRNA(val)[c] + 496 H+[c]
HMR_5156	261 ATP[c] + 3 glycyl-tRNA(gly)[c] + 262 H2O[c] + 3 L-alanyl-tRNA(ala)[c] + L-arginyl-tRNA(arg)[c] + L-asparaginyl-tRNA(asn)[c] + 13 L-aspartyl-tRNA(asp)[c] + L-cysteinyl-tRNA(cys)[c] + 3 L-glutaminyl-tRNA(gln)[c] + 9 L-glutamyl-tRNA(glu)[c] + L-histidyl-tRNA(his)[c] + 8 L-isoleucyl-tRNA(ile)[c] + 10 L-leucyl-tRNA(leu)[c] + 7 L-lysyl-tRNA(lys)[c] + 5 L-methionyl-tRNA(met)[c] + 3 L-phenylalanyl-tRNA(phe)[c] + 5 L-prolyl-tRNA(pro)[c] + 3 L-seryl-tRNA(ser)[c] + L-threonyl-tRNA(thr)[c] + 4 L-tyrosyl-tRNA(tyr)[c] + 6 L-valyl-tRNA(val)[c] => 261 ADP[c] + mitoApo-[ACP][c] + 261 Pi[c] + 3 tRNA(ala)[c] + tRNA(arg)[c] + tRNA(asn)[c] + 13 tRNA(asp)[c] + tRNA(cys)[c] + 3 tRNA(gln)[c] + 9 tRNA(glu)[c] + 3 tRNA(gly)[c] + tRNA(his)[c] + 8 tRNA(ile)[c] + 10 tRNA(leu)[c] + 7 tRNA(lys)[c] + 5 tRNA(met)[c] + 3 tRNA(phe)[c] + 5 tRNA(pro)[c] + 3 tRNA(ser)[c] + tRNA(thr)[c] + 4 tRNA(tyr)[c] + 6 tRNA(val)[c] + 334 H+[c]
HMR_5157	249 ATP[c] + 3 glycyl-tRNA(gly)[c] + 250 H2O[c] + 5 L-alanyl-tRNA(ala)[c] + 4 L-arginyl-tRNA(arg)[c] + L-asparaginyl-tRNA(asn)[c] + 4 L-aspartyl-tRNA(asp)[c] + 3 L-glutaminyl-tRNA(gln)[c] + 8 L-glutamyl-tRNA(glu)[c] + 4 L-isoleucyl-tRNA(ile)[c] + 12 L-leucyl-tRNA(leu)[c] + 9 L-lysyl-tRNA(lys)[c] + 2 L-methionyl-tRNA(met)[c] + 4 L-phenylalanyl-tRNA(phe)[c] + 4 L-prolyl-tRNA(pro)[c] + 9 L-seryl-tRNA(ser)[c] + 3 L-threonyl-tRNA(thr)[c] + L-tryptophanyl-tRNA(trp)[c] + 7 L-valyl-tRNA(val)[c] => 249 ADP[c] + apoC1[c] + 249 Pi[c] + 5 tRNA(ala)[c] + 4 tRNA(arg)[c] + tRNA(asn)[c] + 4 tRNA(asp)[c] + 3 tRNA(gln)[c] + 8 tRNA(glu)[c] + 3 tRNA(gly)[c] + 4 tRNA(ile)[c] + 12 tRNA(leu)[c] + 9 tRNA(lys)[c] + 2 tRNA(met)[c] + 4 tRNA(phe)[c] + 4 tRNA(pro)[c] + 9 tRNA(ser)[c] + 3 tRNA(thr)[c] + tRNA(trp)[c] + 7 tRNA(val)[c] + 333 H+[c]
HMR_5158	303 ATP[c] + 5 glycyl-tRNA(gly)[c] + 304 H2O[c] + 7 L-alanyl-tRNA(ala)[c] + 2 L-arginyl-tRNA(arg)[c] + L-asparaginyl-tRNA(asn)[c] + 4 L-aspartyl-tRNA(asp)[c] + 8 L-glutaminyl-tRNA(gln)[c] + 8 L-glutamyl-tRNA(glu)[c] + L-isoleucyl-tRNA(ile)[c] + 15 L-leucyl-tRNA(leu)[c] + 6 L-lysyl-tRNA(lys)[c] + 3 L-methionyl-tRNA(met)[c] + 4 L-phenylalanyl-tRNA(phe)[c] + 5 L-prolyl-tRNA(pro)[c] + 9 L-seryl-tRNA(ser)[c] + 10 L-threonyl-tRNA(thr)[c] + L-tryptophanyl-tRNA(trp)[c] + 5 L-tyrosyl-tRNA(tyr)[c] + 7 L-valyl-tRNA(val)[c] => 303 ADP[c] + apoC2[c] + 303 Pi[c] + 7 tRNA(ala)[c] + 2 tRNA(arg)[c] + tRNA(asn)[c] + 4 tRNA(asp)[c] + 8 tRNA(gln)[c] + 8 tRNA(glu)[c] + 5 tRNA(gly)[c] + tRNA(ile)[c] + 15 tRNA(leu)[c] + 6 tRNA(lys)[c] + 3 tRNA(met)[c] + 4 tRNA(phe)[c] + 5 tRNA(pro)[c] + 9 tRNA(ser)[c] + 10 tRNA(thr)[c] + tRNA(trp)[c] + 5 tRNA(tyr)[c] + 7 tRNA(val)[c] + 400 H+[c]
HMR_5159	297 ATP[c] + 3 glycyl-tRNA(gly)[c] + 298 H2O[c] + 15 L-alanyl-tRNA(ala)[c] + 4 L-arginyl-tRNA(arg)[c] + 7 L-aspartyl-tRNA(asp)[c] + 6 L-glutaminyl-tRNA(gln)[c] + 5 L-glutamyl-tRNA(glu)[c] + L-histidyl-tRNA(his)[c] + 11 L-leucyl-tRNA(leu)[c] + 6 L-lysyl-tRNA(lys)[c] + 3 L-methionyl-tRNA(met)[c] + 4 L-phenylalanyl-tRNA(phe)[c] + 3 L-prolyl-tRNA(pro)[c] + 12 L-seryl-tRNA(ser)[c] + 5 L-threonyl-tRNA(thr)[c] + 3 L-tryptophanyl-tRNA(trp)[c] + 2 L-tyrosyl-tRNA(tyr)[c] + 9 L-valyl-tRNA(val)[c] => 297 ADP[c] + apoC3[c] + 297 Pi[c] + 15 tRNA(ala)[c] + 4 tRNA(arg)[c] + 7 tRNA(asp)[c] + 6 tRNA(gln)[c] + 5 tRNA(glu)[c] + 3 tRNA(gly)[c] + tRNA(his)[c] + 11 tRNA(leu)[c] + 6 tRNA(lys)[c] + 3 tRNA(met)[c] + 4 tRNA(phe)[c] + 3 tRNA(pro)[c] + 12 tRNA(ser)[c] + 5 tRNA(thr)[c] + 3 tRNA(trp)[c] + 2 tRNA(tyr)[c] + 9 tRNA(val)[c] + 394 H+[c]
HMR_5160	8022 ATP[c] + 262 glycyl-tRNA(gly)[c] + 8023 H2O[c] + 134 L-alanyl-tRNA(ala)[c] + 134 L-arginyl-tRNA(arg)[c] + 138 L-asparaginyl-tRNA(asn)[c] + 176 L-aspartyl-tRNA(asp)[c] + 48 L-cysteinyl-tRNA(cys)[c] + 110 L-glutaminyl-tRNA(gln)[c] + 186 L-glutamyl-tRNA(glu)[c] + 62 L-histidyl-tRNA(his)[c] + 104 L-isoleucyl-tRNA(ile)[c] + 166 L-leucyl-tRNA(leu)[c] + 154 L-lysyl-tRNA(lys)[c] + 48 L-methionyl-tRNA(met)[c] + 98 L-phenylalanyl-tRNA(phe)[c] + 114 L-prolyl-tRNA(pro)[c] + 278 L-seryl-tRNA(ser)[c] + 182 L-threonyl-tRNA(thr)[c] + 60 L-tryptophanyl-tRNA(trp)[c] + 98 L-tyrosyl-tRNA(tyr)[c] + 122 L-valyl-tRNA(val)[c] => 8022 ADP[c] + fibrinogen[c] + 8022 Pi[c] + 134 tRNA(ala)[c] + 134 tRNA(arg)[c] + 138 tRNA(asn)[c] + 176 tRNA(asp)[c] + 48 tRNA(cys)[c] + 110 tRNA(gln)[c] + 186 tRNA(glu)[c] + 262 tRNA(gly)[c] + 62 tRNA(his)[c] + 104 tRNA(ile)[c] + 166 tRNA(leu)[c] + 154 tRNA(lys)[c] + 48 tRNA(met)[c] + 98 tRNA(phe)[c] + 114 tRNA(pro)[c] + 278 tRNA(ser)[c] + 182 tRNA(thr)[c] + 60 tRNA(trp)[c] + 98 tRNA(tyr)[c] + 122 tRNA(val)[c] + 10622 H+[c]
HMR_5161	1218 ATP[c] + 31 glycyl-tRNA(gly)[c] + 1219 H2O[c] + 30 L-alanyl-tRNA(ala)[c] + 9 L-arginyl-tRNA(arg)[c] + 21 L-asparaginyl-tRNA(asn)[c] + 25 L-aspartyl-tRNA(asp)[c] + 12 L-cysteinyl-tRNA(cys)[c] + 17 L-glutaminyl-tRNA(gln)[c] + 25 L-glutamyl-tRNA(glu)[c] + 13 L-histidyl-tRNA(his)[c] + 18 L-isoleucyl-tRNA(ile)[c] + 31 L-leucyl-tRNA(leu)[c] + 35 L-lysyl-tRNA(lys)[c] + 5 L-methionyl-tRNA(met)[c] + 8 L-phenylalanyl-tRNA(phe)[c] + 21 L-prolyl-tRNA(pro)[c] + 18 L-seryl-tRNA(ser)[c] + 22 L-threonyl-tRNA(thr)[c] + 8 L-tryptophanyl-tRNA(trp)[c] + 21 L-tyrosyl-tRNA(tyr)[c] + 36 L-valyl-tRNA(val)[c] => 1218 ADP[c] + haptoglobin[c] + 1218 Pi[c] + 30 tRNA(ala)[c] + 9 tRNA(arg)[c] + 21 tRNA(asn)[c] + 25 tRNA(asp)[c] + 12 tRNA(cys)[c] + 17 tRNA(gln)[c] + 25 tRNA(glu)[c] + 31 tRNA(gly)[c] + 13 tRNA(his)[c] + 18 tRNA(ile)[c] + 31 tRNA(leu)[c] + 35 tRNA(lys)[c] + 5 tRNA(met)[c] + 8 tRNA(phe)[c] + 21 tRNA(pro)[c] + 18 tRNA(ser)[c] + 22 tRNA(thr)[c] + 8 tRNA(trp)[c] + 21 tRNA(tyr)[c] + 36 tRNA(val)[c] + 1618 H+[c]
HMR_5162	2430 ATP[c] + 62 glycyl-tRNA(gly)[c] + 2431 H2O[c] + 37 L-alanyl-tRNA(ala)[c] + 42 L-arginyl-tRNA(arg)[c] + 40 L-asparaginyl-tRNA(asn)[c] + 36 L-aspartyl-tRNA(asp)[c] + 48 L-cysteinyl-tRNA(cys)[c] + 31 L-glutaminyl-tRNA(gln)[c] + 56 L-glutamyl-tRNA(glu)[c] + 24 L-histidyl-tRNA(his)[c] + 22 L-isoleucyl-tRNA(ile)[c] + 48 L-leucyl-tRNA(leu)[c] + 49 L-lysyl-tRNA(lys)[c] + 11 L-methionyl-tRNA(met)[c] + 21 L-phenylalanyl-tRNA(phe)[c] + 69 L-prolyl-tRNA(pro)[c] + 56 L-seryl-tRNA(ser)[c] + 61 L-threonyl-tRNA(thr)[c] + 19 L-tryptophanyl-tRNA(trp)[c] + 30 L-tyrosyl-tRNA(tyr)[c] + 48 L-valyl-tRNA(val)[c] => 2430 ADP[c] + 2430 Pi[c] + plasminogen[c] + 37 tRNA(ala)[c] + 42 tRNA(arg)[c] + 40 tRNA(asn)[c] + 36 tRNA(asp)[c] + 48 tRNA(cys)[c] + 31 tRNA(gln)[c] + 56 tRNA(glu)[c] + 62 tRNA(gly)[c] + 24 tRNA(his)[c] + 22 tRNA(ile)[c] + 48 tRNA(leu)[c] + 49 tRNA(lys)[c] + 11 tRNA(met)[c] + 21 tRNA(phe)[c] + 69 tRNA(pro)[c] + 56 tRNA(ser)[c] + 61 tRNA(thr)[c] + 19 tRNA(trp)[c] + 30 tRNA(tyr)[c] + 48 tRNA(val)[c] + 3239 H+[c]
HMR_5163	1866 ATP[c] + 49 glycyl-tRNA(gly)[c] + 1867 H2O[c] + 42 L-alanyl-tRNA(ala)[c] + 44 L-arginyl-tRNA(arg)[c] + 25 L-asparaginyl-tRNA(asn)[c] + 35 L-aspartyl-tRNA(asp)[c] + 26 L-cysteinyl-tRNA(cys)[c] + 26 L-glutaminyl-tRNA(gln)[c] + 51 L-glutamyl-tRNA(glu)[c] + 13 L-histidyl-tRNA(his)[c] + 22 L-isoleucyl-tRNA(ile)[c] + 51 L-leucyl-tRNA(leu)[c] + 29 L-lysyl-tRNA(lys)[c] + 9 L-methionyl-tRNA(met)[c] + 21 L-phenylalanyl-tRNA(phe)[c] + 33 L-prolyl-tRNA(pro)[c] + 38 L-seryl-tRNA(ser)[c] + 36 L-threonyl-tRNA(thr)[c] + 14 L-tryptophanyl-tRNA(trp)[c] + 21 L-tyrosyl-tRNA(tyr)[c] + 37 L-valyl-tRNA(val)[c] => 1866 ADP[c] + 1866 Pi[c] + prothrombin[c] + 42 tRNA(ala)[c] + 44 tRNA(arg)[c] + 25 tRNA(asn)[c] + 35 tRNA(asp)[c] + 26 tRNA(cys)[c] + 26 tRNA(gln)[c] + 51 tRNA(glu)[c] + 49 tRNA(gly)[c] + 13 tRNA(his)[c] + 22 tRNA(ile)[c] + 51 tRNA(leu)[c] + 29 tRNA(lys)[c] + 9 tRNA(met)[c] + 21 tRNA(phe)[c] + 33 tRNA(pro)[c] + 38 tRNA(ser)[c] + 36 tRNA(thr)[c] + 14 tRNA(trp)[c] + 21 tRNA(tyr)[c] + 37 tRNA(val)[c] + 2475 H+[c]
HMR_5164	2094 ATP[c] + 52 glycyl-tRNA(gly)[c] + 2095 H2O[c] + 61 L-alanyl-tRNA(ala)[c] + 27 L-arginyl-tRNA(arg)[c] + 34 L-asparaginyl-tRNA(asn)[c] + 45 L-aspartyl-tRNA(asp)[c] + 40 L-cysteinyl-tRNA(cys)[c] + 17 L-glutaminyl-tRNA(gln)[c] + 42 L-glutamyl-tRNA(glu)[c] + 19 L-histidyl-tRNA(his)[c] + 15 L-isoleucyl-tRNA(ile)[c] + 65 L-leucyl-tRNA(leu)[c] + 58 L-lysyl-tRNA(lys)[c] + 10 L-methionyl-tRNA(met)[c] + 28 L-phenylalanyl-tRNA(phe)[c] + 32 L-prolyl-tRNA(pro)[c] + 41 L-seryl-tRNA(ser)[c] + 30 L-threonyl-tRNA(thr)[c] + 8 L-tryptophanyl-tRNA(trp)[c] + 26 L-tyrosyl-tRNA(tyr)[c] + 48 L-valyl-tRNA(val)[c] => [apotransferin][c] + 2094 ADP[c] + 2094 Pi[c] + 61 tRNA(ala)[c] + 27 tRNA(arg)[c] + 34 tRNA(asn)[c] + 45 tRNA(asp)[c] + 40 tRNA(cys)[c] + 17 tRNA(gln)[c] + 42 tRNA(glu)[c] + 52 tRNA(gly)[c] + 19 tRNA(his)[c] + 15 tRNA(ile)[c] + 65 tRNA(leu)[c] + 58 tRNA(lys)[c] + 10 tRNA(met)[c] + 28 tRNA(phe)[c] + 32 tRNA(pro)[c] + 41 tRNA(ser)[c] + 30 tRNA(thr)[c] + 8 tRNA(trp)[c] + 26 tRNA(tyr)[c] + 48 tRNA(val)[c] + 2790 H+[c]
HMR_5165	951 ATP[c] + 18 glycyl-tRNA(gly)[c] + 952 H2O[c] + 39 L-alanyl-tRNA(ala)[c] + 34 L-arginyl-tRNA(arg)[c] + L-asparaginyl-tRNA(asn)[c] + 11 L-aspartyl-tRNA(asp)[c] + 2 L-cysteinyl-tRNA(cys)[c] + 32 L-glutaminyl-tRNA(gln)[c] + 40 L-glutamyl-tRNA(glu)[c] + 2 L-histidyl-tRNA(his)[c] + 2 L-isoleucyl-tRNA(ile)[c] + 41 L-leucyl-tRNA(leu)[c] + 13 L-lysyl-tRNA(lys)[c] + 8 L-methionyl-tRNA(met)[c] + 4 L-phenylalanyl-tRNA(phe)[c] + 8 L-prolyl-tRNA(pro)[c] + 14 L-seryl-tRNA(ser)[c] + 12 L-threonyl-tRNA(thr)[c] + 8 L-tryptophanyl-tRNA(trp)[c] + 4 L-tyrosyl-tRNA(tyr)[c] + 24 L-valyl-tRNA(val)[c] => 951 ADP[c] + apoE[c] + 951 Pi[c] + 39 tRNA(ala)[c] + 34 tRNA(arg)[c] + tRNA(asn)[c] + 11 tRNA(asp)[c] + 2 tRNA(cys)[c] + 32 tRNA(gln)[c] + 40 tRNA(glu)[c] + 18 tRNA(gly)[c] + 2 tRNA(his)[c] + 2 tRNA(ile)[c] + 41 tRNA(leu)[c] + 13 tRNA(lys)[c] + 8 tRNA(met)[c] + 4 tRNA(phe)[c] + 8 tRNA(pro)[c] + 14 tRNA(ser)[c] + 12 tRNA(thr)[c] + 8 tRNA(trp)[c] + 4 tRNA(tyr)[c] + 24 tRNA(val)[c] + 1264 H+[c]
HMR_5166	801 ATP[c] + 11 glycyl-tRNA(gly)[c] + 802 H2O[c] + 23 L-alanyl-tRNA(ala)[c] + 17 L-arginyl-tRNA(arg)[c] + 5 L-asparaginyl-tRNA(asn)[c] + 16 L-aspartyl-tRNA(asp)[c] + 19 L-glutaminyl-tRNA(gln)[c] + 30 L-glutamyl-tRNA(glu)[c] + 6 L-histidyl-tRNA(his)[c] + 41 L-leucyl-tRNA(leu)[c] + 22 L-lysyl-tRNA(lys)[c] + 4 L-methionyl-tRNA(met)[c] + 8 L-phenylalanyl-tRNA(phe)[c] + 10 L-prolyl-tRNA(pro)[c] + 16 L-seryl-tRNA(ser)[c] + 12 L-threonyl-tRNA(thr)[c] + 5 L-tryptophanyl-tRNA(trp)[c] + 7 L-tyrosyl-tRNA(tyr)[c] + 15 L-valyl-tRNA(val)[c] => 801 ADP[c] + apoA1[c] + 801 Pi[c] + 23 tRNA(ala)[c] + 17 tRNA(arg)[c] + 5 tRNA(asn)[c] + 16 tRNA(asp)[c] + 19 tRNA(gln)[c] + 30 tRNA(glu)[c] + 11 tRNA(gly)[c] + 6 tRNA(his)[c] + 41 tRNA(leu)[c] + 22 tRNA(lys)[c] + 4 tRNA(met)[c] + 8 tRNA(phe)[c] + 10 tRNA(pro)[c] + 16 tRNA(ser)[c] + 12 tRNA(thr)[c] + 5 tRNA(trp)[c] + 7 tRNA(tyr)[c] + 15 tRNA(val)[c] + 1061 H+[c]
HMR_5169	855 ATP[c] + 21 glycyl-tRNA(gly)[c] + 856 H2O[c] + 21 L-alanyl-tRNA(ala)[c] + 20 L-arginyl-tRNA(arg)[c] + 11 L-asparaginyl-tRNA(asn)[c] + 10 L-aspartyl-tRNA(asp)[c] + 5 L-cysteinyl-tRNA(cys)[c] + 17 L-glutaminyl-tRNA(gln)[c] + 22 L-glutamyl-tRNA(glu)[c] + 6 L-histidyl-tRNA(his)[c] + 10 L-isoleucyl-tRNA(ile)[c] + 31 L-leucyl-tRNA(leu)[c] + 19 L-lysyl-tRNA(lys)[c] + 12 L-methionyl-tRNA(met)[c] + 6 L-phenylalanyl-tRNA(phe)[c] + 12 L-prolyl-tRNA(pro)[c] + 20 L-seryl-tRNA(ser)[c] + 12 L-threonyl-tRNA(thr)[c] + 5 L-tryptophanyl-tRNA(trp)[c] + 4 L-tyrosyl-tRNA(tyr)[c] + 21 L-valyl-tRNA(val)[c] => 855 ADP[c] + 855 Pi[c] + STAR[c] + 21 tRNA(ala)[c] + 20 tRNA(arg)[c] + 11 tRNA(asn)[c] + 10 tRNA(asp)[c] + 5 tRNA(cys)[c] + 17 tRNA(gln)[c] + 22 tRNA(glu)[c] + 21 tRNA(gly)[c] + 6 tRNA(his)[c] + 10 tRNA(ile)[c] + 31 tRNA(leu)[c] + 19 tRNA(lys)[c] + 12 tRNA(met)[c] + 6 tRNA(phe)[c] + 12 tRNA(pro)[c] + 20 tRNA(ser)[c] + 12 tRNA(thr)[c] + 5 tRNA(trp)[c] + 4 tRNA(tyr)[c] + 21 tRNA(val)[c] + 1147 H+[c]
