mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID	metRetired
"MAM04081s"	"MAM04081"	"xolest_hs"	""	""	""	""	""	""	""	"xolest_hs"	"MNXM90954"	""	"xolest_hs_s"
"MAM01446s"	"MAM01446"	"xoltri24"	""	""	""	"11954196"	"LMST04030168"	""	""	"xoltri24"	"MNXM39201;MNXM8206"	""	"m01446s"
"MAM01447s"	"MAM01447"	"xoltri25"	""	""	""	"11954197"	"LMST04030166"	""	""	"xoltri25"	"MNXM163608;MNXM1646"	""	"m01447s"
"MAM01448s"	"MAM01448"	"xoltri27"	"C06341"	"HMDB06281"	"CHEBI:18431"	"440985"	"LMST04030081"	"CE5530"	""	"CE5530;xoltri27"	"MNXM162781;MNXM966"	""	"m01448s"
"MAM00108p"	"MAM00108"	"strdnccoa"	"C16163"	""	"CHEBI:63545"	"23724640"	"LMFA07050046"	"CE4815"	""	"strdnccoa"	"MNXM3361"	""	"m00108p"
"MAM00103p"	"MAM00103"	"tmndnccoa"	"C16165"	""	""	"52922050"	"LMFA07050063"	"CE4813"	""	"tmndnccoa"	"MNXM1449;MNXM2869"	""	"m00103p"
"MAM01806p"	"MAM01806"	"frdp"	"C00448"	"HMDB00961"	"CHEBI:17407"	"445713"	"LMPR0103010002"	""	"HC00362"	"frdp"	"MNXM34"	""	"m01806p"
"MAM00165p"	"MAM00165"	"5pmev"	"C01107"	""	"CHEBI:17436"	"439400"	""	""	"HC00670"	"5pmev"	"MNXM567"	""	"m00165p"
"MAM02480p"	"MAM02480"	"mmcoa__S"	"C00683"	""	"CHEBI:15466"	"21252287"	""	""	"HC00495"	"mmcoa_S"	"MNXM608;MNXM89955"	""	"m02480p"
"MAM03887p"	"MAM03887"	"pristcoa"	""	""	"CHEBI:64039"	"25137904"	""	""	""	"pristcoa"	"MNXM7699"	""	"pristcoa_p"
"MAM00799p"	"MAM00799"	"3hpcoa"	"C05668"	""	"CHEBI:27762"	"440753"	""	""	"HC01557"	"3hpcoa"	"MNXM1263"	""	"m00799p"
"MAM01265p"	"MAM01265"	"prpncoa"	"C00894"	""	"CHEBI:15513"	"439340"	""	""	"HC00579"	"prpncoa"	"MNXM650"	""	"m01265p"
"MAM03884p"	"MAM03884"	"phyt"	"C01607"	"HMDB00801"	"CHEBI:16285"	"26840"	""	""	""	"phyt"	"MNXM91275"	""	"phyt_p"
"MAM01291p"	"MAM01291"	"adrn"	"C16527"	"HMDB02226"	"CHEBI:53487"	"5497181"	"LMFA01030178"	""	""	"adrn"	"MNXM40344;MNXM5042"	""	"m01291p"
"MAM01155s"	"MAM01155"	"ahdt"	"C04895"	""	"CHEBI:18372"	"121885"	""	""	"HC01367"	"ahdt"	"MNXM397"	""	"m01155s"
"MAM01686s"	"MAM01686"	"dgmp"	"C00362"	""	"CHEBI:16192"	"65059"	""	""	"HC00306"	"dgmp"	"MNXM546"	""	"m01686s"
"MAM01688s"	"MAM01688"	"dgtp"	"C00286"	"HMDB01440"	"CHEBI:16497"	"65103"	""	""	"HC00252"	"dgtp"	"MNXM344"	""	"m01688s"
"MAM01752s"	"MAM01752"	"dtmp"	"C00364"	"HMDB01227"	"CHEBI:17013"	"9700"	""	""	"HC00308"	"dtmp"	"MNXM257"	""	"m01752s"
"MAM01753s"	"MAM01753"	"dttp"	"C00459"	"HMDB01342"	"CHEBI:18077"	"64968"	""	""	"HC00368"	"dttp"	"MNXM394"	""	"m01753s"
"MAM01831s"	"MAM01831"	"fald"	"C00067"	"HMDB01426"	"CHEBI:16842"	"712"	""	""	"HC00070"	"fald"	"MNXM56"	""	"m01831s"
"MAM01967s"	"MAM01967"	"g1p"	"C00103"	""	"CHEBI:16077"	"65533"	""	""	"HC00103"	"g1p"	"MNXM89588"	""	"m01967s"
"MAM03127s"	"MAM03127"	""	"C05766"	""	"CHEBI:28766"	"440775"	""	""	"HC01609"	"HC01609"	"MNXM1123;MNXM165232"	""	"m03127s"
"MAM01605s"	"MAM01605"	"cpppg1"	"C05768"	"HMDB02158"	"CHEBI:28607"	"440776"	""	""	"HC01610"	"cpppg1"	"MNXM1322"	""	"m01605s"
"MAM02011s"	"MAM02011"	"gm2_hs"	"C04884"	"HMDB04936"	"CHEBI:51013"	"20057332"	"LMSP0601AM00"	""	"HC02160"	"HC02160"	"MNXM164819"	""	"m02011s"
"MAM02008s"	"MAM02008"	"gm1_hs"	"C04911"	"HMDB00117"	"CHEBI:18216"	""	"LMSP0601AP00"	""	"HC02161"	"HC02161"	"MNXM164818"	""	"m02008s"
"MAM03108s"	"MAM03108"	"udpg"	"C00029"	""	"CHEBI:18066"	"53477679"	""	""	"HC00038"	"udpg"	"MNXM52"	""	"m03108s"
"MAM02411p"	"MAM02411"	"pmtcrn"	"C02990"	"HMDB00222"	"CHEBI:17490"	"11953816"	"LMFA07070004"	""	"HC01034"	"pmtcrn"	"MNXM162587;MNXM787"	""	"m02411p"
"MAM02388p"	"MAM02388"	"lnlccrn"	""	""	""	"6450015"	""	""	"HC10855"	"lnlccrn"	"MNXM8847"	""	"m02388p"
"MAM01363p"	"MAM01363"	"arachdcrn"	""	""	""	""	""	""	"HC12236"	"arachdcrn"	"MNXM8358"	""	"m01363p"
"MAM01747s"	"MAM01747"	"dtdp"	"C00363"	"HMDB01274"	"CHEBI:18075"	"164628"	""	""	"HC00307"	"dtdp"	"MNXM152"	""	"m01747s"
"MAM02336p"	"MAM02336"	"lanost"	"C01724"	"HMDB01251"	"CHEBI:16521"	"246983"	"LMST01010017"	""	"HC00833"	"lanost"	"MNXM482"	""	"m02336p"
"MAM03318s"	"MAM03318"	"C02528"	"C02528"	"HMDB00518"	"CHEBI:16755"	"10133"	""	""	""	"C02528"	"MNXM1183"	""	"C02528_s"
"MAM03393s"	"MAM03393"	"HC02154"	""	""	""	""	""	""	"HC02154"	"HC02154"	"MNXM164821"	""	"HC02154_s"
"MAM00270s"	"MAM00270"	"wharachd"	"C14748"	""	"CHEBI:34306"	"5283157"	""	""	""	"wharachd"	"MNXM22451"	""	"m00270s"
"MAM02938p"	"MAM02938"	"ocdca"	"C01530"	"HMDB00827"	"CHEBI:28842"	"5281"	"LMFA01010018"	""	""	"ocdca"	"MNXM236"	""	"m02938p"
"MAM01597s"	"MAM01597"	"coa"	"C00010"	"HMDB01423"	"CHEBI:1146900"	"6816"	""	""	"HC00020"	"coa"	"MNXM12"	""	"m01597s"
"MAM02444s"	"MAM02444"	"malcoa"	"C00083"	"HMDB01175"	"CHEBI:15531"	"10663"	"LMFA07050031"	""	"HC00086"	"malcoa"	"MNXM40"	""	"m02444s"
"MAM01773s"	"MAM01773"	"arachcoa"	"C02041"	"HMDB04258"	"CHEBI:15527"	"16061151"	"LMFA07050006"	""	""	"arachcoa"	"MNXM1429;MNXM3215"	""	"m01773s"
"MAM00866s"	"MAM00866"	""	""	""	""	"25229584"	""	"CE2250"	""	"CE2250"	"MNXM36756"	""	"m00866s"
"MAM01771p"	"MAM01771"	"arach"	"C06425"	"HMDB02212"	"CHEBI:28822"	"10467"	"LMFA01010020"	""	""	"arach"	"MNXM2976"	""	"m01771p"
"MAM01373p"	"MAM01373"	""	"C08281"	"HMDB00944"	"CHEBI:28941"	"8215"	"LMFA01010022"	""	""	"docosac"	"MNXM162817;MNXM7102"	""	"m01373p"
"MAM02385p"	"MAM02385"	"lgnc"	"C08320"	"HMDB02003"	"CHEBI:28866"	"11197"	"LMFA01010024"	""	"HC01788"	"lgnc"	"MNXM3297;MNXM8841"	""	"m02385p"
"MAM02158s"	"MAM02158"	""	""	""	""	"124985"	""	"CE2011"	""	"CE2011"	"MNXM57006"	""	"m02158s"
"MAM01387s"	"MAM01387"	""	""	""	""	"4424653"	""	"CE2915"	""	"CE2915"	"MNXM163311"	""	"m01387s"
"MAM01386s"	"MAM01386"	""	""	""	""	""	""	"CE4722"	""	"CE4722"	"MNXM152651"	""	"m01386s"
"MAM02563s"	"MAM02563"	""	""	""	""	""	""	"CE2916"	""	"CE2916"	"MNXM158695"	""	"m02563s"
"MAM02562s"	"MAM02562"	""	""	""	""	""	""	"CE4723"	""	"CE4723"	"MNXM158696"	""	"m02562s"
"MAM01348s"	"MAM01348"	""	""	""	""	"53481538"	""	"CE2917"	""	"CE2917"	"MNXM42305"	""	"m01348s"
"MAM01347s"	"MAM01347"	""	""	""	""	""	""	"CE4724"	""	"CE4724"	"MNXM152293"	""	"m01347s"
"MAM03330s"	"MAM03330"	"CE1950"	""	""	""	""	""	"CE1950"	""	"CE1950"	""	""	"CE1950_s"
"MAM03525s"	"MAM03525"	"cynt"	""	""	""	"540"	""	""	""	"cynt"	"MNXM1191"	""	"cynt_s"
"MAM02387p"	"MAM02387"	"lnlc"	"C01595"	"HMDB00673"	"CHEBI:17351"	"5280450"	"LMFA01030120"	""	"HC00796"	"lnlc"	"MNXM293"	""	"m02387p"
"MAM00570s"	"MAM00570"	""	"C02355"	""	""	"439715"	""	""	""	"23cump"	"MNXM3150"	""	"m00570s"
"MAM00921s"	"MAM00921"	""	"C01368"	""	"CHEBI:28895"	"101543"	""	""	""	"3ump"	"MNXM2184"	""	"m00921s"
"MAM02356p"	"MAM02356"	"dopaqn"	"C00822"	"HMDB01229"	"CHEBI:16852"	"439316"	""	""	""	"dopaqn"	"MNXM1481;MNXM163364"	""	"m02356p"
"MAM01139p"	"MAM01139"	""	""	""	""	""	""	"CE5026"	""	"CE5026"	"MNXM164352"	""	"m01139p"
"MAM02315s"	"MAM02315"	""	""	""	""	"53481565"	""	"CE5788"	""	"CE5788"	"MNXM59130"	""	"m02315s"
"MAM02316s"	"MAM02316"	""	""	""	""	"53481566"	""	"CE5789"	""	"CE5789"	"MNXM59131"	""	"m02316s"
"MAM02570s"	"MAM02570"	""	""	""	""	"53481583"	""	"CE5797"	""	"CE5797"	"MNXM64499"	""	"m02570s"
"MAM02569s"	"MAM02569"	""	""	""	""	"53481582"	""	"CE5798"	""	"CE5798"	"MNXM64500"	""	"m02569s"
"MAM01738p"	"MAM01738"	""	""	""	""	"162602"	""	"CE5276"	""	"CE5276"	"MNXM5727"	""	"m01738p"
"MAM01138p"	"MAM01138"	""	""	""	""	""	""	"CE5025"	""	"CE5025"	"MNXM164351"	""	"m01138p"
"MAM02551s"	"MAM02551"	""	""	""	""	"14181658"	""	"CE5867"	""	"CE5867"	"MNXM163855"	""	"m02551s"
"MAM02550s"	"MAM02550"	""	""	""	""	""	""	"CE5868"	""	"CE5868"	"MNXM42"	""	"m02550s"
"MAM02429s"	"MAM02429"	""	""	""	""	""	""	"CE5869"	""	"CE5869"	"MNXM19120"	""	"m02429s"
"MAM02156s"	"MAM02156"	""	""	""	""	"24341"	""	"CE4633"	""	"CE4633"	"MNXM3035"	""	"m02156s"
"MAM02591s"	"MAM02591"	""	""	""	""	"13932711"	""	"CE4881"	""	"CE4881"	"MNXM162976"	""	"m02591s"
"MAM01292p"	"MAM01292"	""	""	""	""	"5898"	""	"CE5536"	""	"CE5536"	"MNXM40345"	""	"m01292p"
"MAM01135p"	"MAM01135"	""	""	""	""	""	""	"CE5546"	""	"CE5546"	"MNXM164349"	""	"m01135p"
"MAM02618p"	"MAM02618"	""	""	""	""	"10176277"	""	"CE5538"	""	"CE5538"	"MNXM64900"	""	"m02618p"
"MAM01140p"	"MAM01140"	""	""	""	""	""	""	"CE5547"	""	"CE5547"	"MNXM164353"	""	"m01140p"
"MAM02355p"	"MAM02355"	"L_dpchrm"	"C01693"	"HMDB01430"	"CHEBI:15772"	"439549"	""	""	""	"L_dpchrm"	"MNXM1564;MNXM162849"	""	"m02355p"
"MAM01137p"	"MAM01137"	""	""	""	""	""	""	"CE5544"	""	"CE5544"	"MNXM164350"	""	"m01137p"
"MAM01739p"	"MAM01739"	""	"C05578"	"HMDB04058"	"CHEBI:27404"	"114683"	""	"CE4888"	""	"CE4888"	"MNXM163363"	""	"m01739p"
"MAM01136p"	"MAM01136"	""	""	""	""	""	""	"CE5545"	""	"CE5545"	"MNXM151428"	""	"m01136p"
"MAM01973s"	"MAM01973"	"glcur"	"C00191"	"HMDB00127"	"CHEBI:42717"	"444791"	""	""	"HC00182"	"glcur"	"MNXM241"	""	"m01973s"
"MAM01923s"	"MAM01923"	""	""	""	""	"133098"	""	"CE1926"	""	"CE1926"	"MNXM163392"	""	"m01923s"
"MAM01924s"	"MAM01924"	""	""	""	""	""	""	"CE5854"	""	"CE5854"	"MNXM163393"	""	"m01924s"
"MAM03107s"	"MAM03107"	"udpgal"	"C00052"	"HMDB00302"	"CHEBI:67119"	"18068"	""	""	"HC00057"	"udpgal"	"MNXM89795"	""	"m03107s"
"MAM01679s"	"MAM01679"	"galside_hs"	"C02686"	""	"CHEBI:12947"	""	""	""	""	"galside_hs"	"MNXM5165"	""	"m01679s"
"MAM01430s"	"MAM01430"	"crm_hs"	"C00195"	""	"CHEBI:52639"	""	"LMSP02010000"	"CE0219"	"HC01990"	"crm_hs"	"MNXM2812"	""	"m01430s"
"MAM03334p"	"MAM03334"	""	""	""	""	"53481515"	""	"CE2597"	""	"CE2597"	""	""	"CE2597_p"
"MAM03326p"	"MAM03326"	""	""	""	""	""	""	"CE0692"	""	"CE0692"	""	""	"CE0692_p"
"MAM02675p"	"MAM02675"	"hdcea"	"C08362"	"HMDB03229"	"CHEBI:28716"	"445638"	"LMFA01030056"	""	"HC01981"	"hdcea"	"MNXM950"	""	"m02675p"
"MAM03333p"	"MAM03333"	""	""	""	""	""	""	"CE2596"	""	"CE2596"	""	""	"CE2596_p"
"MAM03362p"	"MAM03362"	""	"C02060"	""	"CHEBI:15538"	""	""	"CE5122"	""	"CE5122"	""	""	"CE5122_p"
"MAM03363p"	"MAM03363"	""	""	""	""	"441263"	""	"CE5123"	""	"CE5123"	""	""	"CE5123_p"
"MAM01736p"	"MAM01736"	"dopa"	"C03758"	"HMDB00073"	"CHEBI:18243"	"681"	""	""	"HC01175"	"dopa"	"MNXM205"	""	"m01736p"
"MAM03367p"	"MAM03367"	""	""	""	""	""	""	"CE5168"	""	"CE5168"	""	""	"CE5168_p"
"MAM03368p"	"MAM03368"	""	"C05467"	"HMDB06891"	"CHEBI:27379"	"440690"	""	"CE5169"	""	"CE5169"	""	""	"CE5169_p"
"MAM01428s"	"MAM01428"	"cdpea"	"C00570"	"HMDB01564"	"CHEBI:16732"	"123727"	""	""	"HC00433"	"cdpea"	"MNXM449"	""	"m01428s"
"MAM00475s"	"MAM00475"	"12dgr120"	""	""	""	""	""	""	""	"12dgr120"	"MNXM4939"	""	"12dgr120_s"
"MAM00766s"	"MAM00766"	""	""	""	""	"9943542"	""	"CE1925"	""	"CE1925"	"MNXM163170"	""	"m00766s"
"MAM01321s"	"MAM01321"	""	""	""	""	""	""	"CE5853"	""	"CE5853"	"MNXM15963"	""	"m01321s"
"MAM01123p"	"MAM01123"	""	""	""	""	""	""	"CE2084"	""	"CE7097"	"MNXM162741"	""	"m01123p"
"MAM01040p"	"MAM01040"	""	"C04805"	"HMDB11134"	"CHEBI:28209"	"5280733"	"LMFA03060002"	""	""	"C04805"	"MNXM38414"	""	"m01040p"
"MAM01126p"	"MAM01126"	""	""	""	""	"1831"	"LMFA03060011"	"CE2084"	""	"CE2084"	"MNXM94297"	""	"m01126p"
"MAM00329p"	"MAM00329"	""	""	""	""	"53481457"	""	"CE5525"	""	"CE5525"	"MNXM33276"	""	"m00329p"
"MAM00328p"	"MAM00328"	""	""	""	""	"53481456"	""	"CE5976"	""	"CE5976"	"MNXM33275"	""	"m00328p"
"MAM03352p"	"MAM03352"	""	""	""	""	""	""	"CE4794"	""	"CE4794"	""	""	"CE4794_p"
"MAM03381p"	"MAM03381"	"CN0012"	""	""	""	""	""	"CN0012"	""	"CN0012"	"MNXM162933"	""	"CN0012_p"
"MAM03378p"	"MAM03378"	"CN0009"	""	""	""	""	""	"CN0009"	""	"CN0009"	"MNXM163759"	""	"CN0009_p"
"MAM01375p"	"MAM01375"	""	"C14851"	""	""	"37786"	""	""	""	"C14851"	"MNXM7104"	""	"m01375p"
"MAM03379p"	"MAM03379"	"CN0010"	""	""	""	""	""	"CN0010"	""	"CN0010"	"MNXM163760"	""	"CN0010_p"
"MAM01379p"	"MAM01379"	""	"C14849"	""	""	"37456"	""	""	""	"C14849"	"MNXM7106"	""	"m01379p"
"MAM03380p"	"MAM03380"	"CN0011"	""	""	""	""	""	"CN0011"	""	"CN0011"	"MNXM163761"	""	"CN0011_p"
"MAM03386p"	"MAM03386"	"CN0021"	""	""	""	""	""	"CN0021"	""	"CN0021"	"MNXM162911"	""	"CN0021_p"
"MAM03387p"	"MAM03387"	"CN0022"	""	""	""	""	""	"CN0022"	""	"CN0022"	"MNXM162910"	""	"CN0022_p"
"MAM03383p"	"MAM03383"	"CN0017"	""	""	""	""	""	"CN0017"	""	"CN0017"	"MNXM162957"	""	"CN0017_p"
"MAM03384p"	"MAM03384"	"CN0018"	""	""	""	""	""	"CN0018"	""	"CN0018"	"MNXM162956"	""	"CN0018_p"
"MAM03408p"	"MAM03408"	"adpac"	"C06104"	"HMDB00448"	"CHEBI:30832"	"196"	""	""	""	"adpac"	"MNXM163728"	""	"adpac_p"
"MAM03409p"	"MAM03409"	"adpcoa"	""	""	""	"9543333"	""	""	""	"adpcoa"	"MNXM163269"	""	"adpcoa_p"
"MAM03499p"	"MAM03499"	"c6dc"	""	""	""	""	""	""	""	"c6dc"	"MNXM162921"	""	"c6dc_p"
"MAM03201s"	"MAM03201"	"3bcrn"	""	""	""	""	""	""	""	"3bcrn"	"MNXM163668"	""	"3bcrn_s"
"MAM03487s"	"MAM03487"	"c101crn"	""	""	""	"53481651"	""	""	""	"c101crn"	""	""	"c101crn_s"
"MAM03488s"	"MAM03488"	"c10crn"	""	"HMDB00651"	""	"10245190"	""	""	""	"c10crn"	""	""	"c10crn_s"
"MAM03489p"	"MAM03489"	"c10dc"	""	""	""	""	""	""	""	"c10dc"	"MNXM162993"	""	"c10dc_p"
"MAM03489s"	"MAM03489"	"c10dc"	""	""	""	""	""	""	""	"c10dc"	"MNXM162993"	""	"c10dc_s"
"MAM03491p"	"MAM03491"	"c12dccoa"	""	""	""	""	""	""	""	"c12dccoa"	""	""	"c12dccoa_p"
"MAM03562p"	"MAM03562"	"dodecanac"	""	""	""	"12736"	""	""	""	"dodecanac"	""	""	"dodecanac_p"
"MAM03490s"	"MAM03490"	"c12dc"	""	""	""	""	""	""	""	"c12dc"	""	""	"c12dc_s"
"MAM03264s"	"MAM03264"	"3tetd7ecoacrn"	""	""	""	""	""	""	""	"3tetd7ecoacrn"	""	""	"3tetd7ecoacrn_s"
"MAM03268s"	"MAM03268"	"3ttetddcoacrn"	""	""	""	""	""	""	""	"3ttetddcoacrn"	""	""	"3ttetddcoacrn_s"
"MAM03266s"	"MAM03266"	"3thexddcoacrn"	""	""	""	""	""	""	""	"3thexddcoacrn"	""	""	"3thexddcoacrn_s"
"MAM03493s"	"MAM03493"	"c16dc"	""	""	""	"566787"	""	""	""	"c16dc"	""	""	"c16dc_s"
"MAM03494s"	"MAM03494"	"c3dc"	""	""	""	"22833583"	""	""	""	"c3dc"	""	""	"c3dc_s"
"MAM02635s"	"MAM02635"	""	"C02862"	"HMDB02013"	""	"439829"	"LMFA07070003"	""	"HC02150"	"c4crn"	"MNXM65151"	""	"m02635s"
"MAM03495p"	"MAM03495"	"c4dc"	""	""	""	""	""	""	""	"c4dc"	"MNXM158939"	""	"c4dc_p"
"MAM03495s"	"MAM03495"	"c4dc"	""	""	""	""	""	""	""	"c4dc"	"MNXM158939"	""	"c4dc_s"
"MAM02635p"	"MAM02635"	""	"C02862"	"HMDB02013"	""	"439829"	"LMFA07070003"	""	"HC02150"	"c4crn"	"MNXM65151"	""	"m02635p"
"MAM03497s"	"MAM03497"	"c5dc"	""	""	""	"53481622"	""	""	""	"c5dc"	""	""	"c5dc_s"
"MAM03498p"	"MAM03498"	"c6crn"	""	""	""	"6426853"	""	""	""	"c6crn"	""	""	"c6crn_p"
"MAM03498s"	"MAM03498"	"c6crn"	""	""	""	"6426853"	""	""	""	"c6crn"	""	""	"c6crn_s"
"MAM03499s"	"MAM03499"	"c6dc"	""	""	""	""	""	""	""	"c6dc"	"MNXM162921"	""	"c6dc_s"
"MAM03501s"	"MAM03501"	"c81crn"	""	""	""	"53481667"	""	""	""	"c81crn"	""	""	"c81crn_s"
"MAM02409s"	"MAM02409"	""	"C02838"	"HMDB00791"	"CHEBI:18102"	"11953814"	"LMFA07070002"	""	"HC01007"	"c8crn"	"MNXM162768;MNXM4211"	""	"m02409s"
"MAM03502s"	"MAM03502"	"c8dc"	""	""	""	""	""	""	""	"c8dc"	"MNXM162999"	""	"c8dc_s"
"MAM03202s"	"MAM03202"	"3ddcrn"	""	""	""	""	""	""	""	"3ddcrn"	"MNXM150910"	""	"3ddcrn_s"
"MAM03540s"	"MAM03540"	"ddeccrn"	""	""	""	"168381"	""	""	""	"ddeccrn"	""	""	"ddeccrn_s"
"MAM03541s"	"MAM03541"	"ddece1crn"	""	""	""	""	""	""	""	"ddece1crn"	""	""	"ddece1crn_s"
"MAM03204s"	"MAM03204"	"3deccrn"	""	""	""	""	""	""	""	"3deccrn"	"MNXM150909"	""	"3deccrn_s"
"MAM03544s"	"MAM03544"	"decdicrn"	""	""	""	"53481669"	""	""	""	"decdicrn"	""	""	"decdicrn_s"
"MAM03555p"	"MAM03555"	"doco13ecoa"	""	""	""	"24892791"	""	""	""	"doco13ecoa"	""	""	"doco13ecoa_p"
"MAM03560s"	"MAM03560"	"docosdiac"	""	""	""	"244872"	""	""	""	"docosdiac"	""	""	"docosdiac_s"
"MAM03217s"	"MAM03217"	"3hdececrn"	""	""	""	""	""	""	""	"3hdececrn"	""	""	"3hdececrn_s"
"MAM03219s"	"MAM03219"	"3hexdcrn"	""	""	""	"53481691"	""	""	""	"3hexdcrn"	"MNXM36524"	""	"3hexdcrn_s"
"MAM03243s"	"MAM03243"	"3ivcrn"	""	""	""	""	""	""	""	"3ivcrn"	""	""	"3ivcrn_s"
"MAM03250s"	"MAM03250"	"3octdec2crn"	""	""	""	""	""	""	""	"3octdec2crn"	""	""	"3octdec2crn_s"
"MAM03251s"	"MAM03251"	"3octdeccrn"	""	""	""	""	""	""	""	"3octdeccrn"	""	""	"3octdeccrn_s"
"MAM03253s"	"MAM03253"	"3octdece1crn"	""	""	""	""	""	""	""	"3octdece1crn"	""	""	"3octdece1crn_s"
"MAM03262s"	"MAM03262"	"3tdcrn"	""	""	""	""	""	""	""	"3tdcrn"	"MNXM150929"	""	"3tdcrn_s"
"MAM03496s"	"MAM03496"	"c51crn"	""	""	""	"22833596"	""	""	""	"c51crn"	"MNXM163903"	""	"c51crn_s"
"MAM03706s"	"MAM03706"	"ivcrn"	""	""	""	"6426851"	""	""	""	"ivcrn"	"MNXM105848"	""	"ivcrn_s"
"MAM03975s"	"MAM03975"	"tetdec2crn"	""	""	""	""	""	""	""	"tetdec2crn"	""	""	"tetdec2crn_s"
"MAM03980s"	"MAM03980"	"tetdece1crn"	""	""	""	"22833575"	""	""	""	"tetdece1crn"	""	""	"tetdece1crn_s"
"MAM03542p"	"MAM03542"	"dec47dicoa"	""	""	""	""	""	""	""	"dec47dicoa"	""	""	"dec47dicoa_p"
"MAM03545p"	"MAM03545"	"dectricoa"	""	""	""	""	""	""	""	"dectricoa"	""	""	"dectricoa_p"
"MAM02830p"	"MAM02830"	"2decdicoa"	""	""	""	""	""	""	""	"2decdicoa"	""	""	"2decdicoa_p"
"MAM03794p"	"MAM03794"	"octe5coa"	""	""	""	""	""	""	""	"octe5coa"	""	""	"octe5coa_p"
"MAM03205p"	"MAM03205"	"3decdicoa"	""	""	""	""	""	""	""	"3decdicoa"	""	""	"3decdicoa_p"
"MAM03924p"	"MAM03924"	"sebcoa"	""	""	""	""	""	""	""	"sebcoa"	"MNXM10471"	""	"sebcoa_p"
"MAM03922p"	"MAM03922"	"sbcoa"	""	""	""	""	""	""	""	"sbcoa"	"MNXM163582"	""	"sbcoa_p"
"MAM04004p"	"MAM04004"	"tmuncoa"	""	""	""	""	""	""	""	"tmuncoa"	""	""	"tmuncoa_p"
"MAM02698p"	"MAM02698"	"2ddecdicoa"	""	""	""	"53480665"	""	""	""	"2ddecdicoa"	""	""	"2ddecdicoa_p"
"MAM03203p"	"MAM03203"	"3ddecdicoa"	""	""	""	"5280771"	""	""	""	"3ddecdicoa"	""	""	"3ddecdicoa_p"
"MAM03172p"	"MAM03172"	"2dodtricoa"	""	""	""	""	""	""	""	"2dodtricoa"	""	""	"2dodtricoa_p"
"MAM03211p"	"MAM03211"	"3dodtricoa"	""	""	""	""	""	""	""	"3dodtricoa"	""	""	"3dodtricoa_p"
"MAM03490p"	"MAM03490"	"c12dc"	""	""	""	""	""	""	""	"c12dc"	""	""	"c12dc_p"
"MAM03978p"	"MAM03978"	"tetdecdicoa"	""	""	""	"21252281"	""	""	""	"tetdecdicoa"	""	""	"tetdecdicoa_p"
"MAM03288p"	"MAM03288"	"5tedtricoa"	""	""	""	""	""	""	""	"5tedtricoa"	""	""	"5tedtricoa_p"
"MAM03492p"	"MAM03492"	"c14dccoa"	""	""	""	""	""	""	""	"c14dccoa"	""	""	"c14dccoa_p"
"MAM03182p"	"MAM03182"	"2hexdtricoa"	""	""	""	""	""	""	""	"2hexdtricoa"	""	""	"2hexdtricoa_p"
"MAM03274p"	"MAM03274"	"4hexdtricoa"	""	""	""	""	""	""	""	"4hexdtricoa"	""	""	"4hexdtricoa_p"
"MAM03653p"	"MAM03653"	"hexdectecoa"	""	""	""	""	""	""	""	"hexdectecoa"	""	""	"hexdectecoa_p"
"MAM03221p"	"MAM03221"	"3hexdtricoa"	""	""	""	""	""	""	""	"3hexdtricoa"	""	""	"3hexdtricoa_p"
"MAM03181p"	"MAM03181"	"2hexdtetcoa"	""	""	""	""	""	""	""	"2hexdtetcoa"	""	""	"2hexdtetcoa_p"
"MAM03273p"	"MAM03273"	"4hexdtetcoa"	""	""	""	""	""	""	""	"4hexdtetcoa"	""	""	"4hexdtetcoa_p"
"MAM03656p"	"MAM03656"	"hexdpencoa"	""	""	""	""	""	""	""	"hexdpencoa"	""	""	"hexdpencoa_p"
"MAM03220p"	"MAM03220"	"3hexdtetcoa"	""	""	""	""	""	""	""	"3hexdtetcoa"	""	""	"3hexdtetcoa_p"
"MAM03655p"	"MAM03655"	"hexdicoa"	""	""	""	""	""	""	""	"hexdicoa"	""	""	"hexdicoa_p"
"MAM03789p"	"MAM03789"	"ocde9ecoa"	""	""	""	"5280355"	""	""	""	"ocde9ecoa"	""	""	"ocde9ecoa_p"
"MAM03194p"	"MAM03194"	"2octdectecoa"	""	""	""	""	""	""	""	"2octdectecoa"	""	""	"2octdectecoa_p"
"MAM03254p"	"MAM03254"	"3octdectecoa"	""	""	""	""	""	""	""	"3octdectecoa"	""	""	"3octdectecoa_p"
"MAM03567p"	"MAM03567"	"ei11ecoa"	""	""	""	"24892790"	""	""	""	"ei11ecoa"	""	""	"ei11ecoa_p"
"MAM03571p"	"MAM03571"	"eitetcoa"	""	""	""	""	""	""	""	"eitetcoa"	""	""	"eitetcoa_p"
"MAM03570p"	"MAM03570"	"eipencoa"	""	""	""	""	""	""	""	"eipencoa"	""	""	"eipencoa_p"
"MAM03171p"	"MAM03171"	"2docopencoa"	""	""	""	""	""	""	""	"2docopencoa"	""	""	"2docopencoa_p"
"MAM03557p"	"MAM03557"	"docohexcoa"	""	""	""	""	""	""	""	"docohexcoa"	""	""	"docohexcoa_p"
"MAM03210p"	"MAM03210"	"3docopencoa"	""	""	""	""	""	""	""	"3docopencoa"	""	""	"3docopencoa_p"
